month,ai_likelihood,h1_cosine_similarity,h2_error_rate,h3_positive_rate,h4_link_density,h5_compression_ratio,h6_jaccard_similarity
2022-06,0.000055,0.040765673,0.133333,0.400000,29.066045,0.550105,0.169570
2022-07,0.000092,0.041013982,0.133333,0.295000,37.373004,0.539630,0.158137
2022-08,0.000005,0.05167458,0.120000,0.255000,44.411339,0.550045,0.157669
2022-09,0.000044,0.04718608,0.200000,0.355000,33.296337,0.548777,0.164843
2022-10,0.013600,0.046129066,0.148148,0.360000,118.231966,0.547160,0.152273
2022-11,0.000019,0.057342254,0.295775,0.285000,36.932074,0.534790,0.186580
2022-12,0.000016,0.060719054,0.138298,0.250000,15.074403,0.535837,0.167767
2023-01,0.022676,0.03875305,0.066667,0.285000,28.685190,0.555426,0.172930
2023-02,0.072300,0.041706365,0.090909,0.340000,29.416598,0.553143,0.163042
2023-03,0.079452,0.08395039,0.051282,0.275000,48.748565,0.525110,0.139958
2023-04,0.117754,0.05382524,0.204545,0.320000,41.319972,0.550297,0.153284
2023-05,0.187788,0.07096239,0.200000,0.345000,23.827982,0.536373,0.162269
2023-06,0.134445,0.07059916,0.217391,0.290000,24.580370,0.526541,0.144268
2023-07,0.237500,0.101763025,0.370370,0.265000,8.972132,0.538782,0.159919
2023-08,0.000148,0.052531417,0.160000,0.325000,25.533616,0.549585,0.156113
2023-09,0.120915,0.05495282,0.177778,0.395000,22.118500,0.542695,0.168829
2023-10,0.231423,0.055658396,0.100000,0.340000,23.298840,0.544221,0.142461
2023-11,0.000106,0.054452997,0.076923,0.360000,50.916107,0.541401,0.170080
2023-12,0.000003,0.04829838,0.128205,0.410000,22.373216,0.537084,0.163981
2024-01,0.121773,0.064074665,0.081081,0.450000,84.932487,0.526824,0.169638
2024-02,0.116505,0.05471054,0.111111,0.405000,27.974924,0.551787,0.154069
2024-03,0.181906,0.051493205,0.093023,0.420000,30.413918,0.526574,0.160956
2024-04,0.117710,0.05933788,0.142857,0.395000,28.008024,0.550522,0.174671
2024-05,0.080082,0.053734027,0.180000,0.345000,30.524205,0.538236,0.143968
2024-06,0.241346,0.050497916,0.083333,0.320000,25.689644,0.533199,0.124784
2024-07,0.235313,0.04914471,0.171429,0.380000,33.676324,0.545238,0.151407
2024-08,0.294280,0.05096107,0.085106,0.400000,35.878575,0.552107,0.166026
2024-09,0.209581,0.048655808,0.111111,0.335000,35.654892,0.541147,0.149278
2024-10,0.237631,0.055856846,0.133333,0.425000,30.243580,0.545368,0.172468
2024-11,0.058911,0.06011895,0.186047,0.390000,30.615589,0.550051,0.166226
2024-12,0.117367,0.053986132,0.060606,0.395000,40.771840,0.541304,0.157631
2025-01,0.302145,0.052423026,0.034483,0.430000,24.315725,0.553386,0.146427
2025-02,0.178136,0.05685646,0.140000,0.470000,34.476038,0.546587,0.164422
2025-03,0.192928,0.05400879,0.085714,0.425000,21.687923,0.548240,0.171375
2025-04,0.235382,0.06750177,0.081081,0.430000,33.968593,0.548819,0.168732
2025-05,0.334318,0.06904508,0.000000,0.460000,25.774908,0.557312,0.159472
