month,ai_generated_pct,ai_combined_pct
2022-06,0.0,0.0
2022-07,0.0,0.0
2022-08,0.0,0.0
2022-09,0.0,0.0
2022-10,0.0,0.0
2022-11,0.0,0.0
2022-12,0.0,0.0
2023-01,0.0,0.0
2023-02,6.25,6.25
2023-03,5.88,5.88
2023-04,11.76,11.76
2023-05,17.65,17.65
2023-06,17.65,17.65
2023-07,23.53,23.53
2023-08,0.0,0.0
2023-09,11.76,11.76
2023-10,11.76,17.65
2023-11,0.0,0.0
2023-12,0.0,0.0
2024-01,11.76,11.76
2024-02,11.76,11.76
2024-03,5.88,11.76
2024-04,5.88,11.76
2024-05,5.88,11.76
2024-06,11.76,17.65
2024-07,23.53,23.53
2024-08,23.53,23.53
2024-09,23.53,23.53
2024-10,23.53,23.53
2024-11,0.0,5.88
2024-12,11.76,11.76
2025-01,17.65,17.65
2025-02,17.65,17.65
2025-03,17.65,23.53
2025-04,23.53,23.53
2025-05,17.65,35.29
