hypothesis,split,group,n,SD,D,SoD,N,SoA,A,SA
h1,overall,all,300,5,41,36,35,80,75,28
h1,by_usage,Never,38,0,5,1,1,10,15,6
h1,by_usage,Monthly,49,0,5,3,4,14,15,8
h1,by_usage,Weekly,102,1,12,14,16,26,25,8
h1,by_usage,Daily,111,4,19,18,14,30,20,6
h1,by_view,Negative,89,0,5,4,8,29,29,14
h1,by_view,Neutral,35,0,1,2,5,16,8,3
h1,by_view,Positive,132,5,33,26,19,25,20,4
h2,overall,all,300,13,28,21,43,72,69,54
h2,by_usage,Never,38,0,4,2,5,5,6,16
h2,by_usage,Monthly,49,1,4,4,11,9,8,12
h2,by_usage,Weekly,102,3,9,5,13,28,32,12
h2,by_usage,Daily,111,9,11,10,14,30,23,14
h2,by_view,Negative,89,0,3,5,16,19,24,22
h2,by_view,Neutral,35,0,2,2,7,11,7,6
h2,by_view,Positive,132,12,23,13,15,30,27,12
h3,overall,all,300,4,17,17,46,74,86,56
h3,by_usage,Never,38,0,2,2,3,4,12,15
h3,by_usage,Monthly,49,0,1,3,8,12,14,11
h3,by_usage,Weekly,102,2,4,8,16,26,31,15
h3,by_usage,Daily,111,2,10,4,19,32,29,15
h3,by_view,Negative,89,1,1,4,10,19,28,26
h3,by_view,Neutral,35,0,0,1,5,9,13,7
h3,by_view,Positive,132,3,16,10,26,39,26,12
h4,overall,all,300,1,17,16,56,90,83,37
h4,by_usage,Never,26,0,0,0,8,6,11,1
h4,by_usage,Monthly,59,0,0,1,8,23,18,9
h4,by_usage,Weekly,90,0,2,8,19,29,22,10
h4,by_usage,Daily,125,1,15,7,21,32,32,17
h4,by_view,Negative,85,0,1,5,14,21,24,20
h4,by_view,Neutral,47,0,2,1,8,17,14,5
h4,by_view,Positive,137,1,13,9,27,41,37,9
h5,overall,all,300,5,31,40,41,88,62,33
h5,by_usage,Never,38,0,0,4,3,11,14,6
h5,by_usage,Monthly,46,1,2,3,7,14,12,7
h5,by_usage,Weekly,93,1,4,11,16,30,19,12
h5,by_usage,Daily,123,3,25,22,15,33,17,8
h5,by_view,Negative,89,3,2,6,8,32,26,12
h5,by_view,Neutral,32,0,1,1,7,12,5,6
h5,by_view,Positive,148,2,28,33,22,37,20,6
h6,overall,all,300,1,10,12,28,68,100,81
h6,by_usage,Never,26,0,0,3,1,2,9,11
h6,by_usage,Monthly,59,0,1,1,4,10,24,19
h6,by_usage,Weekly,90,0,4,2,10,26,26,22
h6,by_usage,Daily,125,1,5,6,13,30,41,29
h6,by_view,Negative,85,0,0,2,4,14,26,39
h6,by_view,Neutral,47,0,2,0,3,13,17,12
h6,by_view,Positive,137,0,8,7,17,36,45,24
